jml_lantai,ruangan,luas (m2),harga
2,3,70,779856
3,3,96,950000
1,7,169.4,2700000
1,1,32.4,339000
1,2,51.46,1150000
3,3,110,1080000
1,1,38.8,289000
0,2,45.75,250000
3,2,37.1,479000
3,3,49,485000
2,2,60,529000
3,2,48,409000
1,2,39.66,460000
1,1,32.4,349000
2,4,74.23,1150000
2,3,86.97,1052337
0,2,44.4,688000
2,3,80.5,1200000
4,5,142,720000
4,2,64,799000
2,3,80.66,1200000
3,5,127,799000
2,2,44,399000
5,2,59.59,744000
0,4,100,1199000
4,5,154,4500000
5,3,59.49,744000
1,3,71,1780000
0,3,61,1250000
4,5,154,4500000
6,3,60,749000
5,2,59.49,755000
2,2,117,1755000
0,2,50,699000
0,1,29,368000
4,1,29.45,335000
5,2,60,759000
0,2,62.07,720000
5,2,59.49,759000
1,4,80.1,1049000
4,2,66,599000
0,3,69.2,750000
5,3,84.74,1150000
0,2,66.04,995000
3,3,83.4,799000
4,3,100,2380000
4,1,29.7,279000
2,3,80.66,1200000
0,2,66.04,995000
0,2,66.04,995000
1,3,80.1,1090000
3,2,57,929000
1,3,108.53,1085000
2,3,80,1200000
0,2,66,995000
5,2,67,1230000
2,3,81,1200000
4,3,66.1,599000
0,2,66.04,995000
1,3,108.53,1000000
1,2,46,599000
2,3,80.66,1200000
1,3,108.53,1030000
3,5,170,3000000
3,3,94.12,940000
3,1,28,410000
5,2,60,759000
0,1,37,399000
2,5,157.3,710000
3,3,84,560000
3,1,28.42,368740
2,1,27.55,352000
0,3,94.47,643900
4,1,45,239000
1,1,21.38,300000
3,2,64,340000
1,2,50.17,1080000
1,3,70,1325000
3,3,84,560000
2,2,64,679000
1,3,70,1325000
0,7,180,999000
2,2,52,749000
3,1,28.3,486760
1,2,42,524000
1,5,113,1750000
5,1,33.25,660000
3,2,42.95,695790
0,2,84.8,949000
1,2,54.55,675000
1,3,88,980000
2,4,129,2390000
1,2,54,680000
1,2,42,524000
1,2,34.24,572000
0,3,80.5,890000
3,3,65.7,434000
2,3,73,980000
0,3,60.86,1249900
1,5,113,1750000
1,5,113,1750000
2,5,166,1290000
1,2,63,499999
4,4,113,699000
4,2,44,519000
1,2,47,590000
4,4,110,1485000
1,2,43,510000
2,3,96.7,1100000
3,3,67.6,434000
2,2,39,470000
4,3,69.28,670000
0,4,88.96,1399000
6,2,62.4,1330000
2,2,43.48,339500
0,4,117,680000
0,3,56,439000
2,4,139.5,1350000
5,3,84.74,1150000
1,2,43,510000
1,2,39.66,465000
0,1,32.5,446000
1,4,135.72,1696500
1,2,46,599000
6,2,62.4,1330000
1,2,46,599000
3,2,37,450000
1,3,54.35,630000
0,3,64,721999
2,2,43,349000
2,4,139.17,1350000
1,4,104,2100000
4,2,44,490000
5,3,84.74,1150000
0,2,37.39,429000
1,3,89,970000
3,2,79.18,650000
0,1,38.6,570000
4,2,32.31,371565
0,2,32.5,446000
2,4,116,2500000
